CON015,Consumer Unit 4way,PACLINV0059984,,,"79,448.27","64,137.86",,,"15,310.41",19.27,,,,,,,,,,,,,
CON016,Consumer Unit 6way,PACLINV0056755,,,"5,775.86","4,690.26",,,"1,085.60",18.80,,,,,,,,,,,,,
CON017,Consumer Unit 8way,PACLCRN0002791,,,"53,275.86","39,926.15",,,"13,349.71",25.06,,,,,,,,,,,,,
CON021,Conta 1/2kg,PACLINV0056202,,,"11,586.25","6,110.82",,,"5,475.43",47.26,,,,,,,,,,,,,
CON022,Conta 1/4kg,PACLINV0060987,,,"8,793.07","5,053.83",,,"3,739.24",42.52,,,,,,,,,,,,,
CON023,Conta 100ml,PACLINV0058482,,,"9,913.77","5,430.95",,,"4,482.82",45.22,,,,,,,,,,,,,
CON024,Conta 1kg,PACLINV0060479,,,"60,896.54","48,847.42",,,"12,049.12",19.79,,,,,,,,,,,,,
CON025,Conta 4kg,PACLINV0059537,,,"255,474.11","235,711.77",,,"19,762.34",7.74,,,,,,,,,,,,,
CON026,Conta 50ml,PACLINV0061049,,,"3,788.80","1,549.02",,,"2,239.78",59.12,,,,,,,,,,,,,
CON028,Consumer Unit 12way,PACLINV0057706,,,"5,620.69","4,913.80",,,706.89,12.58,,,,,,,,,,,,,
COO002,Cooker Unit Socket,PACLINV0055225,,,"3,043.10","1,682.76",,,"1,360.34",44.70,,,,,,,,,,,,,
COO003,Cooker Connector,PACLINV0031248,,,"1,060.35",900.00,,,160.35,15.12,,,,,,,,,,,,,
COR001,Cornace Super Fix 2kg,PACLINV0035873,,,"2,068.96","1,700.00",,,368.96,17.83,,,,,,,,,,,,,
COR003,Corner Strip,PACLINV0051322,,,155.17,51.72,,,103.45,66.67,,,,,,,,,,,,,
COR004,Corner Strip Aluminium,PACLINV0060327,,,"48,935.35","25,575.11",,,"23,360.24",47.74,,,,,,,,,,,,,
COR005,Corner Strip Cream,PACLCRN0001893,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,
COR006,Corner Strip Gold,PACLINV0036475,,,431.03,215.52,,,215.51,50.00,,,,,,,,,,,,,
COR007,Corner Strip L Shaped,PACLINV0058632,,,"133,508.61","76,371.88",,,"57,136.73",42.80,,,,,,,,,,,,,
COR008,Corner Strip Plastic White,PACLINV0047332,,,"6,068.96","2,482.56",,,"3,586.40",59.09,,,,,,,,,,,,,
COR010,Gypsum Corner Tape,PACLINV0056020,,,"95,060.35","61,061.70",,,"33,998.65",35.77,,,,,,,,,,,,,
COR011,Cornace Super Fix 5kg,PACLINV0058303,,,"18,103.44","16,169.95",,,"1,933.49",10.68,,,,,,,,,,,,,
COU001,Counter Sunk Screw 1,PACLINV0058834,,,"4,827.58","2,172.42",,,"2,655.16",55.00,,,,,,,,,,,,,
COU002,Counter Sunk Screw 1.5,PACLINV0059772,,,"12,181.01","8,017.22",,,"4,163.79",34.18,,,,,,,,,,,,,
COU004,Counter Sunk Screw 2,PACLINV0056393,,,"3,637.93","2,327.60",,,"1,310.33",36.02,,,,,,,,,,,,,
COU006,Countersank Screws 1,PACLINV0060557,,,258.62,172.41,,,86.21,33.33,,,,,,,,,,,,,
COU007,Coupler Threaded 20mm,PACLINV0046560,,,"1,706.89",940.94,,,765.95,44.87,,,,,,,,,,,,,
COU008,Coupler Threaded 25mm,PACLINV0046560,,,"1,293.10",690.00,,,603.10,46.64,,,,,,,,,,,,,
COU009,Couplers 20mm,PACLINV0060442,,,"88,055.85","34,933.20",,,"53,122.65",60.33,,,,,,,,,,,,,
COU010,Couplers 25mm,PACLINV0058265,,,"47,474.09","18,467.85",,,"29,006.24",61.10,,,,,,,,,,,,,
COU011,Couplers 32mm,PACLINV0060911,,,"15,448.30","8,714.82",,,"6,733.48",43.59,,,,,,,,,,,,,
COU012,Couplers 38mm,PACLINV0059571,,,762.94,568.92,,,194.02,25.43,,,,,,,,,,,,,
COU013,Couplers 50mm,PACLINV0059603,,,"7,775.85","4,720.44",,,"3,055.41",39.29,,,,,,,,,,,,,
CRO024,Crown Wallputty 25kg,PACLINV0056824,,,"1,842,189.99","1,520,409.90",,,"321,780.09",17.47,,,,,,,,,,,,,
CRO025,Crown Wallputty 1kg,PACLINV0060298,,,"25,586.19","17,557.78",,,"8,028.40",31.38,,,,,,,,,,,,,
CRO026,C/S/G Ruff   & Tuff Stoneless,PACLCRN0002244,,,"25,258.63","23,272.25",,,"1,986.38",7.86,,,,,,,,,,,,,
CRO027,Crown WallPutty water Proof-20kg,PACLINV0059353,,,"16,896.55","14,354.24",,,"2,542.31",15.05,,,,,,,,,,,,,
CSG002,C/S/G Aqua Glow B/W 4l,PACLINV0047382,,,"27,543.11","22,520.74",,,"5,022.37",18.23,,,,,,,,,,,,,
CSG004,C/S/G Varnish Mahogany 4L,PACLINV0058470,,,"30,431.04","19,142.16",,,"11,288.88",37.10,,,,,,,,,,,,,
CSG005,C/S/G Black 4l,PACLINV0060714,,,"150,129.33","135,533.13",,,"14,596.20",9.72,,,,,,,,,,,,,
CSG006,C/S/G Roadline  Black 4l,PACLINV0044489,,,"52,586.22","46,581.08",,,"6,005.14",11.42,,,,,,,,,,,,,
CSG007,C/S/G  Zinc phophate Grey 4 l,PACLINV0037612,,,"3,620.69","3,370.15",,,250.54,6.92,,,,,,,,,,,,,
CSG009,C/S/G Ruff & Tuff 30l-White Base,PACLINV0056105,,,"671,810.31","595,142.80",,,"76,667.51",11.41,,,,,,,,,,,,,
CSG010,C/S/G Vesta Red Oxide 4l-Primer,PACLCRN0002699,,,"4,655.17","3,185.55",,,"1,469.62",31.57,,,,,,,,,,,,,
CSG011,C/S/G Ruff & Tuff 30l-Clear  Base,PACLINV0044837,,,"76,465.52","61,397.49",,,"15,068.03",19.71,,,,,,,,,,,,,
CSG015,C/S/G Ruff & Tuff 5l-Normal,PACLINV0038558,,,"2,068.97","1,686.12",,,382.85,18.50,,,,,,,,,,,,,
CUP002,Cup Wire Brush twisted,PACLINV0030911,,,948.28,603.44,,,344.84,36.36,,,,,,,,,,,,,
CUP003,Cup Wire Brush smooth,PACLINV0044748,,,"2,155.17","1,077.60",,,"1,077.57",50.00,,,,,,,,,,,,,
CUR001,Curtain Balls Black,PACLCRN0001695,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 10 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
CUR003,Curtain Balls Gold,PACLINV0055553,,,620.69,482.76,,,137.93,22.22,,,,,,,,,,,,,
CUR004,Curtain Balls Silver,PACLINV0057727,,,"2,310.35","1,448.28",,,862.07,37.31,,,,,,,,,,,,,
CUR005,Curtain Balls White,PACLINV0033367,,,"3,879.31","2,472.00",,,"1,407.31",36.28,,,,,,,,,,,,,
CUR007,Curtain Brackets Copper,PACLINV0040589,,,353.45,245.70,,,107.75,30.49,,,,,,,,,,,,,
CUR008,Curtain Brackets White,PACLINV0047521,,,"1,503.44",982.80,,,520.64,34.63,,,,,,,,,,,,,
CUR013,Curtain Caps White,PACLINV0048490,,,137.93,68.96,,,68.97,50.00,,,,,,,,,,,,,
CUR017,Curtain Ring,PACLINV0054279,,,431.03,172.40,,,258.63,60.00,,,,,,,,,,,,,
CUR023,Curtain Rod Jk 2m Bronze,PACLINV0038117,,,"1,508.62","1,431.03",,,77.59,5.14,,,,,,,,,,,,,
CUR024,Curtain Rod Jk 2m Gold,PACLINV0038117,,,"1,508.62","1,431.03",,,77.59,5.14,,,,,,,,,,,,,
CUR028,Curtain Rod Jk 6m Black,PACLINV0040589,,,"1,120.69","1,034.48",,,86.21,7.69,,,,,,,,,,,,,
CUR029,Curtain Rod Jk 6m White,PACLINV0033367,,,"5,172.41","4,137.92",,,"1,034.49",20.00,,,,,,,,,,,,,
CUT001,Cut Out Double,PACLINV0057738,,,"2,586.20","1,854.95",,,731.25,28.28,,,,,,,,,,,,,
CUT002,Cut Out Single,PACLINV0060038,,,862.07,556.64,,,305.43,35.43,,,,,,,,,,,,,
CUT006,Cutting Disk Diamond 4,PACLINV0060913,,,"39,681.03","18,274.27",,,"21,406.76",53.95,,,,,,,,,,,,,
CUT007,Cutting Disk Diamond 7,PACLINV0057689,,,"17,198.26","9,655.24",,,"7,543.02",43.86,,,,,,,,,,,,,
CUT008,Cutting Disk Diamond 9,PACLINV0060041,,,"89,939.72","50,795.64",,,"39,144.08",43.52,,,,,,,,,,,,,
CUT009,Cutting Disk Metal 4,PACLINV0057546,,,870.71,595.76,,,274.95,31.58,,,,,,,,,,,,,
CUT010,Grinding  Disk 7.,PACLINV0061199,,,"43,698.38","22,359.38",,,"21,339.00",48.83,,,,,,,,,,,,,
CUT011,Cutting Disk Metal 9,PACLINV0057778,,,"29,094.76","21,794.08",,,"7,300.68",25.09,,,,,,,,,,,,,
CUT012,Cutting Disk Slim 4,PACLINV0060474,,,"23,192.32","7,629.81",,,"15,562.51",67.10,,,,,,,,,,,,,
CUT013,Cutting Disk Slim 9,PACLINV0056862,,,"262,236.76","141,123.71",,,"121,113.05",46.18,,,,,,,,,,,,,
CUT015,Cutting Disk Metal 7,PACLINV0047098,,,"1,232.75",855.00,,,377.75,30.64,,,,,,,,,,,,,
CUT016,Cutting Disk Damond Continuous 4,PACLINV0053235,,,"1,362.07",862.05,,,500.02,36.71,,,,,,,,,,,,,
CUT018,Cutting Disk Damond Continuous 9,PACLINV0049327,,,"2,198.28","1,939.65",,,258.63,11.77,,,,,,,,,,,,,
CYL001,CYLINDER BIG,PACLINV0059881,,,"1,469.83","1,465.52",,,4.31,0.29,,,,,,,,,,,,,
CYP001,Syphone,PACLINV0050461,,,"6,370.71","4,005.30",,,"2,365.41",37.13,,,,,,,,,,,,,
CYP003,Syphon Top Flush,PACLINV0057674,,,"8,491.37","5,681.79",,,"2,809.58",33.09,,,,,,,,,,,,,
CYP012,Cypress 8x1,PACLINV0044622,,,422.41,362.04,,,60.37,14.29,,,,,,,,,,,,,
D 1001,D 10,PACLINV0061191,,,"32,971,249.88","31,437,977.29",,,"1,533,272.59",4.65,,,,,,,,,,,,,
D 1002,D 12,PACLINV0059518,,,"20,797,068.87","19,889,702.73",,,"907,366.14",4.36,,,,,,,,,,,,,
D 1003,D 16,PACLINV0061091,,,"18,589,107.66","17,863,204.47",,,"725,903.19",3.90,,,,,,,,,,,,,
D 2001,D 20,PACLINV0059445,,,"6,932,642.21","6,505,518.26",,,"427,123.95",6.16,,,,,,,,,,,,,
D 2002,D 25,PACLINV0056049,,,"1,908,129.31","1,803,957.32",,,"104,171.99",5.46,,,,,,,,,,,,,
D 3001,D 32,PACLINV0046012,,,"835,051.72","776,830.02",,,"58,221.70",6.97,,,,,,,,,,,,,
D 8001,D 8,PACLINV0061191,,,"14,953,883.64","14,238,332.30",,,"715,551.34",4.79,,,,,,,,,,,,,
D/E001,D/E Matt Black 1l,PACLINV0030280,,,"1,551.72","1,205.04",,,346.68,22.34,,,,,,,,,,,,,
D/E002,D/E Matt Black 4l,PACLINV0058829,,,"28,836.22","24,956.25",,,"3,879.97",13.46,,,,,,,,,,,,,
D/E004,D/E Matt Brilliant  White 1l,PACLINV0048763,,,"3,060.34","1,925.08",,,"1,135.26",37.10,,,,,,,,,,,,,
D/E008,D/E Sf Brill White 20l,PACLINV0059808,,,"204,482.80","190,067.72",,,"14,415.08",7.05,,,,,,,,,,,,,
D/E009,D/E Sf Brill White 4l,PACLINV0058673,,,"55,948.32","42,518.70",,,"13,429.62",24.00,,,,,,,,,,,,,
D/E010,D/E Sf Brilliant White 1l,PACLINV0057333,,,"7,025.85","3,743.51",,,"3,282.34",46.72,,,,,,,,,,,,,
D/E014,D/E Silk White 1l,PACLINV0044994,,,"4,224.15","3,366.06",,,858.09,20.31,,,,,,,,,,,,,
D/E015,D/E Silk White 4l,PACLINV0042168,,,"18,556.91","17,333.60",,,"1,223.31",6.59,,,,,,,,,,,,,
D/G001,D/G Aquagloss White 1l,PACLINV0045337,,,"1,034.48",808.62,,,225.86,21.83,,,,,,,,,,,,,
D/G003,D/G Black 4l,PACLINV0048095,,,"11,120.68","9,444.48",,,"1,676.20",15.07,,,,,,,,,,,,,
D/G005,D/G Clear Gloss Varnish 4l,PACLINV0038990,,,"10,775.86","8,270.90",,,"2,504.96",23.25,,,,,,,,,,,,,
D/G007,D/G Matt Primer Grey 4l,PACLINV0052169,,,"4,482.76","4,278.48",,,204.28,4.56,,,,,,,,,,,,,
D/G010,D/G Undercoat 1l,PACLINV0056295,,,"4,482.77","3,298.43",,,"1,184.34",26.42,,,,,,,,,,,,,
D/R001,D/Real Roc White 20l,PACLINV0050592,,,"3,879.31","3,567.00",,,312.31,8.05,,,,,,,,,,,,,
D/S003,D/Sanding Sealer 1l,PACLINV0053179,,,568.97,566.02,,,2.95,0.52,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 11 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
D/S004,D/Sanding Sealer 4l,PACLINV0058479,,,"23,840.52","21,147.92",,,"2,692.60",11.29,,,,,,,,,,,,,
D10004,D 10 Accurate,PACLINV0038641,,,"96,551.72","91,723.80",,,"4,827.92",5.00,,,,,,,,,,,,,
D12004,D 12  Accurate,PACLINV0038641,,,"79,655.17","75,862.40",,,"3,792.77",4.76,,,,,,,,,,,,,
D16003,D 16-Kifaru,PACLINV0051061,,,"2,620,000.00","2,500,087.12",,,"119,912.88",4.58,,,,,,,,,,,,,
D16004,D 16  Accurate,PACLINV0038641,,,"51,775.86","49,241.36",,,"2,534.50",4.90,,,,,,,,,,,,,
D25001,D 25- Kifaru,PACLINV0036243,,,"372,633.61","341,379.20",,,"31,254.41",8.39,,,,,,,,,,,,,
D8A001,D 8 Accurate,PACLINV0038641,,,"67,887.93","64,654.50",,,"3,233.43",4.76,,,,,,,,,,,,,
DAM001,Variance/DG Goods Sold,PACLINV0042168,,,"18,574.99",0.00,,,"18,574.99",100.00,,,,,,,,,,,,,
DAR001,Dari,PACLINV0061239,,,"1,379.30",862.10,,,517.20,37.50,,,,,,,,,,,,,
DAY010,Waterpump Dayliff 0.5HP,PACLINV0053135,,,"14,224.14","8,793.10",,,"5,431.04",38.18,,,,,,,,,,,,,
DAY011,Dayliff  Chlorine65-5kgs,PACLCRN0002326,,,"2,241.38","1,794.83",,,446.55,19.92,,,,,,,,,,,,,
DES001,D/E SILK BRILL WHITE 4L,PACLINV0060332,,,"2,758.62","2,066.82",,,691.80,25.08,,,,,,,,,,,,,
DEW001,Dewalt Angle Grinder2200w-230mm,PACLINV0034504,,,"15,517.24","13,784.48",,,"1,732.76",11.17,,,,,,,,,,,,,
DEW003,DewaltAngle Grinder220W-180mm,PACLINV0040370,,,"15,172.41","13,784.48",,,"1,387.93",9.15,,,,,,,,,,,,,
DEW006,Dewalt Circula Saw 1500w-190mm,PACLINV0047947,,,"14,568.97","12,922.41",,,"1,646.56",11.30,,,,,,,,,,,,,
DEW008,Dewalt Grinder 4010,PACLINV0057067,,,"11,465.52","7,155.17",,,"4,310.35",37.59,,,,,,,,,,,,,
DEW010,"Dewalt Grinding Disk4""",PACLINV0044600,,,78.45,77.59,,,0.86,1.10,,,,,,,,,,,,,
DEW011,"Dewalt Slim cutting4""",PACLINV0058660,,,"2,595.68","1,784.57",,,811.11,31.25,,,,,,,,,,,,,
DEW012,Dewalt Hilt 6mm,PACLINV0054968,,,599.14,524.14,,,75.00,12.52,,,,,,,,,,,,,
DEW013,Dewalt Hilt 14mm,PACLINV0055548,,,"1,306.90","1,201.70",,,105.20,8.05,,,,,,,,,,,,,
DEW015,Dewalt Hilt 20mm,PACLINV0041790,,,"3,060.34","2,525.01",,,535.33,17.49,,,,,,,,,,,,,
DEW016,Dewalt Hilt Elite 12mm-DT8935-QZ,PACLINV0031568,,,"1,017.24",946.54,,,70.70,6.95,,,,,,,,,,,,,
DEW017,Dewalt Hilt Bit 7mm,PACLINV0047800,,,"1,008.62",853.41,,,155.21,15.39,,,,,,,,,,,,,
DEW019,Dewalt Hilt Bit6556-6mm,PACLINV0054968,,,620.69,301.70,,,318.99,51.39,,,,,,,,,,,,,
DEW020,Dewalt Diamond 41/2- 47450hp,PACLINV0052077,,,973.27,844.82,,,128.45,13.20,,,,,,,,,,,,,
DEW021,Dewalt Diamond 9-47900hp,PACLINV0049925,,,"3,984.48","3,706.90",,,277.58,6.97,,,,,,,,,,,,,
DEW022,Dewalt Diamond Cup 4-4772t-AE,PACLINV0057320,,,"9,396.55","8,017.23",,,"1,379.32",14.68,,,,,,,,,,,,,
DEW023,"Dewalt  Diamond 7""-47702HP",PACLINV0051249,,,"3,318.97","2,586.21",,,732.76,22.08,,,,,,,,,,,,,
DEW024,"Dewalt Diamond 9"" -47902 HP",PACLINV0043067,,,"5,684.48","4,629.27",,,"1,055.21",18.56,,,,,,,,,,,,,
DEW026,Dewalt Drill Driver  DC077152B,PACLINV0040370,,,"21,120.69","18,870.69",,,"2,250.00",10.65,,,,,,,,,,,,,
DEW028,Dewalt Laser DW088K-XJ,PACLINV0039008,,,"15,603.45","14,224.14",,,"1,379.31",8.84,,,,,,,,,,,,,
DGB001,D/G White 4L,PACLINV0057332,,,"23,103.45","20,587.33",,,"2,516.12",10.89,,,,,,,,,,,,,
DGC001,D/G Clear High Gloss 1 Ltr,PACLINV0044288,,,"2,974.14","2,196.78",,,777.36,26.14,,,,,,,,,,,,,
DGW001,D/G  White 1l,PACLINV0045493,,,"5,043.11","3,556.20",,,"1,486.91",29.48,,,,,,,,,,,,,
DHO001,Dhobi Sink,PACLINV0045966,,,"1,724.14","1,412.93",,,311.21,18.05,,,,,,,,,,,,,
DIS001,Distribution Board 4way,PACLINV0041025,,,"6,465.52","5,172.41",,,"1,293.11",20.00,,,,,,,,,,,,,
DIS002,Distribution Board 8way,PACLINV0041808,,,"9,051.72","6,724.14",,,"2,327.58",25.71,,,,,,,,,,,,,
DOO002,Door Bell Switch,PACLINV0047783,,,129.31,86.21,,,43.10,33.33,,,,,,,,,,,,,
DOO005,Door Stopper,PACLINV0048654,,,568.97,181.02,,,387.95,68.18,,,,,,,,,,,,,
DOO014,Door Bell Switch water Proof,PACLINV0053762,,,387.93,327.59,,,60.34,15.55,,,,,,,,,,,,,
DOV001,Dovetail Tank 1000l Rect,PACLINV0059194,,,"10,775.86","9,210.12",,,"1,565.74",14.53,,,,,,,,,,,,,
DOV007,Dovetail Tank 10000l,PACLINV0058343,,,"287,931.04","272,828.66",,,"15,102.38",5.25,,,,,,,,,,,,,
DOV008,Dovetail Tank 1000l,PACLINV0056577,,,"7,500.00","5,558.83",,,"1,941.17",25.88,,,,,,,,,,,,,
DOV010,Dovetail Tank 2000l,PACLINV0058706,,,"46,982.76","38,025.00",,,"8,957.76",19.07,,,,,,,,,,,,,
DOV011,Dovetail Tank 3000l,PACLINV0058241,,,"71,293.10","59,487.03",,,"11,806.07",16.56,,,,,,,,,,,,,
DOV012,Dovetail Tank 5000l,PACLINV0061001,,,"209,396.56","190,855.40",,,"18,541.16",8.85,,,,,,,,,,,,,
DOV013,Dovetail Tank 2500l,PACLINV0060417,,,"36,827.58","32,598.71",,,"4,228.87",11.48,,,,,,,,,,,,,
DOW001,Down Stoppers,PACLINV0058469,,,"3,189.63",905.52,,,"2,284.11",71.61,,,,,,,,,,,,,
DOW003,Down lighter 3w,PACLINV0050947,,,344.83,300.00,,,44.83,13.00,,,,,,,,,,,,,
DPC001,Dpc,PACLINV0060661,,,"457,887.95","401,083.68",,,"56,804.27",12.41,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 12 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
DR 002,Dr Fixit Gapseal Tape 10m,PACLINV0042250,,,"5,603.46","3,652.30",,,"1,951.16",34.82,,,,,,,,,,,,,
DR 003,Dr Fixit Gapseal Tape Mtrs,PACLINV0048990,,,"2,327.58","1,691.46",,,636.12,27.33,,,,,,,,,,,,,
DR 004,Dr Fixit Pidiproof 1l,PACLINV0057445,,,"26,077.56","12,494.13",,,"13,583.43",52.09,,,,,,,,,,,,,
DR 005,Dr Fixit Pidiproof 20l,PACLINV0059749,,,"141,120.71","122,244.46",,,"18,876.25",13.38,,,,,,,,,,,,,
DR 006,Dr Fixit Pidiproof 5l,PACLINV0061204,,,"29,189.66","17,838.81",,,"11,350.85",38.89,,,,,,,,,,,,,
DR 007,Dr Fixit Superlatex 1l,PACLINV0057711,,,"37,017.27","28,679.48",,,"8,337.79",22.52,,,,,,,,,,,,,
DR 008,Dr Fixit Superlatex 5kg,PACLINV0060383,,,"123,879.35","110,937.79",,,"12,941.56",10.45,,,,,,,,,,,,,
DR 009,Dr Fixit Sureseal 1kg,PACLINV0058613,,,"22,069.00","15,633.27",,,"6,435.73",29.16,,,,,,,,,,,,,
DR 010,Dr Fixit Sureseal 5kg,PACLINV0060419,,,"80,431.02","73,680.41",,,"6,750.61",8.39,,,,,,,,,,,,,
DR 011,Dr Fixit  Modern Tile Adhesive 25kg,PACLINV0059517,,,"1,031,198.39","887,659.48",,,"143,538.91",13.92,,,,,,,,,,,,,
DR 012,Dr Fixit Waterproof Powder,PACLINV0059649,,,"206,521.49","123,435.11",,,"83,086.38",40.23,,,,,,,,,,,,,
DRA001,Drain Opener 1kg,PACLINV0059227,,,"3,232.76","2,327.60",,,905.16,28.00,,,,,,,,,,,,,
DRA002,Drain Opener 500g,PACLINV0058189,,,"4,767.23","3,568.92",,,"1,198.31",25.14,,,,,,,,,,,,,
DRA005,Drawer Handle Small Gold,PACLINV0029044,,,155.17,155.16,,,0.01,0.01,,,,,,,,,,,,,
DRA006,Drawer Handle Small Silver 6,PACLCRN0002423,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,
DRA008,Drawer Handles Brass 9,PACLINV0029193,,,"5,762.95","2,835.98",,,"2,926.97",50.79,,,,,,,,,,,,,
DRA010,Drawer Handles Silver 9,PACLCRN0001349,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,
DRA016,Drawer Lock Evergood,PACLINV0056999,,,"7,120.68","4,462.84",,,"2,657.84",37.33,,,,,,,,,,,,,
DRA022,Drawer Rail Hydro 14,PACLINV0061202,,,"8,181.03","4,449.60",,,"3,731.43",45.61,,,,,,,,,,,,,
DRA023,Drawer Rail D/Extension 16,PACLINV0056393,,,"7,913.80","4,994.80",,,"2,919.00",36.88,,,,,,,,,,,,,
DRA024,Drawer Rail Hydro 18,PACLINV0044993,,,"10,982.76","6,465.54",,,"4,517.22",41.13,,,,,,,,,,,,,
DRA025,Drawer Rail Hydro 20,PACLINV0042599,,,344.83,258.62,,,86.21,25.00,,,,,,,,,,,,,
DRA026,Drawer Rail Hydro 12,PACLINV0060677,,,"2,077.58","1,086.21",,,991.37,47.72,,,,,,,,,,,,,
DRI002,Drill Bit 10mm,PACLINV0059265,,,965.51,434.52,,,530.99,55.00,,,,,,,,,,,,,
DRI004,Drill Bit 12mm,PACLINV0043672,,,"1,913.80","1,241.37",,,672.43,35.14,,,,,,,,,,,,,
DRI005,Drill Bit 14mm,PACLINV0056115,,,"1,508.62",978.30,,,530.32,35.15,,,,,,,,,,,,,
DRI006,Drill Bit 16mm,PACLINV0056115,,,"3,965.52","2,844.82",,,"1,120.70",28.26,,,,,,,,,,,,,
DRI008,Drill Bit 3.5mm,PACLINV0051626,,,939.64,452.55,,,487.09,51.84,,,,,,,,,,,,,
DRI009,Drill Bit 3/16mm,PACLINV0041481,,,241.38,172.40,,,68.98,28.58,,,,,,,,,,,,,
DRI010,Drill Bit 3mm,PACLINV0057962,,,"1,456.90",490.62,,,966.28,66.32,,,,,,,,,,,,,
DRI012,Drill Bit 4mm,PACLINV0056345,,,"1,586.21",965.44,,,620.77,39.14,,,,,,,,,,,,,
DRI013,Drill Bit 5mm,PACLINV0060109,,,"1,215.54",668.88,,,546.66,44.97,,,,,,,,,,,,,
DRI014,Drill Bit 6mm,PACLINV0059827,,,"2,758.62","1,655.04",,,"1,103.58",40.00,,,,,,,,,,,,,
DRI016,Drill Bit 8mm,PACLINV0058014,,,"1,974.13","1,206.94",,,767.19,38.86,,,,,,,,,,,,,
DRI022,Drill Bit Hilt 8mm,PACLINV0040888,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,
DRU002,Drum 220l,PACLINV0044976,,,"25,000.00","20,806.88",,,"4,193.12",16.77,,,,,,,,,,,,,
DRU004,Drum 240l,PACLINV0058962,,,"22,241.37","17,241.36",,,"5,000.01",22.48,,,,,,,,,,,,,
DU 001,Du Acrylic Sealer 4L,PACLINV0060719,,,"22,413.79","14,666.76",,,"7,747.03",34.56,,,,,,,,,,,,,
DUC001,Duct Tape,PACLINV0035010,,,991.38,517.24,,,474.14,47.83,,,,,,,,,,,,,
DUR001,Dura Paint Remover 1l,PACLINV0032558,,,"3,448.28","2,102.08",,,"1,346.20",39.04,,,,,,,,,,,,,
DUR002,Dura Paint Remover 5l,PACLINV0044316,,,"5,344.83","5,023.86",,,320.97,6.01,,,,,,,,,,,,,
DUR003,Dura Skim Coat 1kg,PACLINV0056747,,,"3,362.06","2,722.98",,,639.08,19.01,,,,,,,,,,,,,
DUR004,Dura Skim Coat 25kg,PACLCRN0002927,,,"370,301.75","308,750.43",,,"61,551.32",16.62,,,,,,,,,,,,,
DUS001,Dust Mask Pkt,PACLINV0059825,,,"7,639.41","5,430.96",,,"2,208.45",28.91,,,,,,,,,,,,,
DUS002,Dust Mask Plastic,PACLINV0052147,,,"1,362.07",620.64,,,741.43,54.43,,,,,,,,,,,,,
DUS003,Dust Mask Pcs,PACLINV0053831,,,629.31,126.00,,,503.31,79.98,,,,,,,,,,,,,
EAR001,Earthrod 4FT,PACLINV0060672,,,"1,681.03",950.60,,,730.43,43.45,,,,,,,,,,,,,
EAR002,Earthrod 5FT,PACLINV0057270,,,"3,189.65","2,689.68",,,499.97,15.67,,,,,,,,,,,,,
ELE001,Elec Bend 20mm,PACLINV0058910,,,"3,840.50","1,680.21",,,"2,160.29",56.25,,,,,,,,,,,,,
ELE002,Elec Bend 25mm,PACLINV0060804,,,"6,150.86","3,368.44",,,"2,782.42",45.24,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 13 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
ELE003,Elec Bend 32mm,PACLINV0057588,,,"11,519.82","8,232.10",,,"3,287.72",28.54,,,,,,,,,,,,,
ELE004,Elec Bend 38mm,PACLINV0059571,,,"1,659.48","1,015.99",,,643.49,38.78,,,,,,,,,,,,,
ELE005,Elec Bend 50mm,PACLINV0058618,,,"7,853.43","5,749.56",,,"2,103.87",26.79,,,,,,,,,,,,,
ELE006,Elec Cable Flex 1.5mm mtrs,PACLINV0059820,,,"18,206.89","14,189.76",,,"4,017.13",22.06,,,,,,,,,,,,,
ELE007,Elec Cable Flex 2.5mm mtrs,PACLINV0059177,,,"31,430.16","29,555.88",,,"1,874.28",5.96,,,,,,,,,,,,,
